臺灣詞,,,大陸詞,,,差異別
電子錢包,120067,21363,電子貨幣,97946,26100,1
電腦程式,46232,85552,軟件程序,125493,131342,1
震度,122524,121092,烈度,89856,93141,1
露營休閒車,123609,130851,房車,17584,67242,1
音效卡,46730,93451,聲效卡,126082,131301,1
音效卡,46730,93451,聲卡,93435,87226,1
頂客族,46803,61392,丁客族,62286,4521,1
食品添加物,123188,130927,食品添加劑,129930,130928,1
高乘載專用道,129731,130004,多成員車輛專用道,129732,126569,1
三合一咖啡,67525,4542,一加二咖啡,70037,5250,1
三角皮帶,67531,4548,三角帶,67529,4555,1
二氧化碳雷射,126254,122795,二氧化碳激光,129681,125023,1
代理孕母,2210,59244,代孕母親,2192,80406,1
代理孕母,2210,59244,代母,2193,59233,1
倒數計時,3279,62006,倒計時,62071,4862,1
優格,3959,61693,酸奶酪,120580,20967,1
免持,129605,124373,免提,129013,122581,1
公車站牌,73254,12644,公交車站牌,129736,127503,1
加護病房,6024,59441,重症監護病房,43973,81072,1
去氧核糖核酸,122495,121016,脫氧核糖核酸,93652,119037,1
去氧核糖核酸水解酶,123859,123523,脫氧核糖核酸水解酶,123936,130440,1
反聖嬰,123680,123882,拉尼娜現象,18268,80323,1
國民住宅,9298,61363,經濟適用房,33931,79737,1
國宅,9304,64404,經適房,129300,132573,1
國際換日線,75132,125612,國際日期變更線,111512,125722,1
在職訓練,9741,59973,在職培訓,9742,59974,1
士官長,122541,121122,軍士長,65039,85663,1
太空工業,130088,133297,航天工業,129278,132801,1
奈米材料,122380,117857,納米材料,92582,117851,1
奈米科學,122379,117858,納米科學,92583,117853,1
安親班,12707,65095,托管班,17969,80335,1
家庭計畫,12959,65264,計劃生育,39405,80325,1
差集,130029,132650,補集,124255,130687,1
平交道,14742,65615,道口,43034,81521,1
延長線,15201,60632,接線板,19005,80799,1
引子,15297,65705,引物,123932,126087,1
影音,15566,65826,音像,46741,80193,1
心理諮商,16009,66643,心理諮詢,16010,80203,1
快閃記憶體,16150,96663,閃速存儲器,124094,130812,1
扮黑臉,18081,80672,唱白臉,8518,80571,1
披索,121629,94142,比索,88465,93690,1
拘提,18534,67328,拘傳,64941,8776,1
捐血,18897,61109,無償獻血,125573,130735,1
掩埋場,129676,124776,堆填場,129675,124774,1
掩埋場,129676,124776,填埋區,129423,124541,1
智慧型手機,120735,18962,智能手機,120736,18115,1
朋馳,124980,122887,大奔,10785,2545,1
校園網路,123629,128320,校園網絡,130045,132875,1
核子反應器,22915,111587,原子核反應堆,70475,6684,1
桃莉羊,22997,3393,多莉羊,10527,3399,1
樣品屋,69959,127148,樣板房,129506,127142,1
殘障奧運會,24278,70022,殘奧會,129199,127688,1
殘障奧運會,24278,70022,殘疾人奧運會,24266,81686,1
注意力缺陷過動症,122756,121498,多動症,10531,81511,1
營運長,121534,89873,運營官,43097,87871,1
狂牛症,28467,70212,瘋牛病,29973,81638,1
球面方程式,124181,129608,球面方程,124262,129607,1
理賠服務中心,121503,87944,理賠站,29005,86519,1
瓦斯鋼瓶,130016,131930,液化氣罐,129510,132339,1
直立式,30654,71257,立式,32588,71605,1
看護工,121771,97150,護工,95419,96043,1
確認鍵,120645,21866,回車鍵,120711,17127,1
